GenerationNum,AverageFitness,HighestFitness
1,-19.1247,163.7429
2,-16.0045,130.5534
3,-3.990508,461.5798
4,-24.47414,200.2193
5,-48.50749,517.2555
6,12.34814,725.8282
7,-17.55372,314.5138
8,-27.15565,142.032
9,-2.091656,141.3553
10,21.19362,640.6785
11,31.22149,252.8995
12,36.10587,360.1085
13,-26.21305,309.1737
14,-96.29769,164.8758
15,-20.97123,205.3728
16,43.82935,334.327
17,-34.6086,303.6087
18,10.3756,544.6326
19,-37.0138,136.0258
20,-32.09584,444.3628
21,76.22884,394.898
22,-67.1681,314.0696
23,34.88124,577.6313
24,-20.50578,262.0209
25,-13.52246,236.753
26,-72.731,212.1081
27,-57.30555,372.2077
28,-44.80175,178.3908
29,0.499606,265.5343
30,-57.65741,223.0775
31,-29.4741,197.0998
32,-2.360757,342.0251
33,-0.2453148,373.3876
34,47.57256,780.9767
35,35.74163,689.1324
36,-45.07687,602.0008
37,60.39111,845.2587
38,9.200152,479.7432
39,-39.72382,389.3569
40,191.9447,1330.097
41,148.3772,929.4196
42,140.7918,1151.346
43,113.3924,1168.511
44,103.476,964.401
45,96.47506,764.9213
46,261.8817,1130.036
47,121.2227,877.2712
48,265.7639,900.6317
49,165.5408,956.8062
50,-775.0374,960.1883
51,175.1491,950.7672
52,123.3857,955.4891
53,151.4572,854.4451
54,37.27348,361.1094
55,105.0849,571.1012
56,213.4458,831.6429
57,265.674,973.3917
58,182.2016,470.0403
59,156.7188,692.6828
60,177.4471,735.4818
61,167.4397,562.0504
62,250.1573,673.124
63,284.2769,648.7917
64,243.7015,696.9412
65,246.8324,782.0508
66,282.6903,649.2766
67,168.7245,725.5547
68,289.7997,693.5692
69,428.3237,1127.557
70,206.3174,718.3563
71,202.0503,609.5436
72,175.9092,630.0151
73,38.02142,584.5044
74,211.0483,584.0662
75,337.4177,778.9565
76,128.7521,591.2521
77,227.4609,641.2568
78,268.567,898.5282
79,313.3158,743.2953
80,321.2561,712.664
